server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_usage : 74%, batch_size : 4, current_iteration: 180
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
teration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 77%, batch_size : 4, current_iteration: 188
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 710
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 77%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 75%, batch_size : 4, current_iteration: 187
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 718
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 706
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 712
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 699
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 79%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 715
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 715
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 707
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 702
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 185
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 719
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 699
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 187
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 722
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 715
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 710
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 55%, batch_size : 4, current_iteration: 179
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 706
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 78%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 696
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 710
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 700
teration: 180
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 719
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 720
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 191
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 694
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 688
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 694
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 77%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 719
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 188
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 696
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 699
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 716
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 713
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 179
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 702
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 714
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 190
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 683
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 705
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 74%, batch_size : 4, current_iteration: 187
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 703
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 70%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 701
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 184
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 701
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 700
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 717
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 185
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 712
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 712
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 703
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 704
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 706
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 708
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 716
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 711
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 181
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 704
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 183
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 80%, batch_size : 4, current_iteration: 183
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 2%, batch_size : 128, current_iteration: 720
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 700
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 709
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 694
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 78%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 71%, batch_size : 4, current_iteration: 184
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 710
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
################# start ###################
server : gpu02, job : vae, gpu : NVIDIA GeForce RTX 4090, gpu_memory : 1645608960MiB, gpu_util : 3%, batch_size : 128, current_iteration: 707
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 73%, batch_size : 4, current_iteration: 186
################# start ###################
server : gpu01, job : vision_transformer, gpu : NVIDIA GeForce RTX 3090, gpu_memory : 4127260672MiB, gpu_util : 72%, batch_size : 4, current_iteration: 182
